timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1613306908473,271,getBooks request,200,,External app 1-24,text,true,,126,118,30,30,http://localhost:8080/books/,258,0,8
1613306908174,568,getBooks request,200,,External app 1-4,text,true,,126,118,30,30,http://localhost:8080/books/,556,0,134
1613306908418,326,getBooks request,200,,External app 1-22,text,true,,126,118,30,30,http://localhost:8080/books/,313,0,7
1613306908176,568,getBooks request,200,,External app 1-9,text,true,,126,118,30,30,http://localhost:8080/books/,555,0,131
1613306908572,172,getBooks request,200,,External app 1-27,text,true,,126,118,30,30,http://localhost:8080/books/,160,0,5
1613306908205,539,getBooks request,200,,External app 1-14,text,true,,126,118,30,30,http://localhost:8080/books/,531,0,103
1613306908215,529,getBooks request,200,,External app 1-16,text,true,,126,118,30,30,http://localhost:8080/books/,517,0,97
1613306908543,201,getBooks request,200,,External app 1-26,text,true,,126,118,30,30,http://localhost:8080/books/,193,0,14
1613306908174,568,getBooks request,200,,External app 1-5,text,true,,126,118,30,30,http://localhost:8080/books/,555,0,132
1613306908601,143,getBooks request,200,,External app 1-28,text,true,,126,118,30,30,http://localhost:8080/books/,140,0,9
1613306908345,399,getBooks request,200,,External app 1-19,text,true,,126,118,30,30,http://localhost:8080/books/,386,0,17
1613306908176,569,getBooks request,200,,External app 1-10,text,true,,126,118,30,30,http://localhost:8080/books/,564,0,131
1613306908757,22,getBooks request,200,,External app 1-22,text,true,,126,118,30,30,http://localhost:8080/books/,21,0,0
1613306908758,27,getBooks request,200,,External app 1-9,text,true,,126,118,30,30,http://localhost:8080/books/,26,0,0
1613306908755,35,getBooks request,200,,External app 1-4,text,true,,126,118,30,30,http://localhost:8080/books/,23,0,0
1613306908781,34,getBooks request,200,,External app 1-22,text,true,,126,118,30,30,http://localhost:8080/books/,11,0,0
1613306908817,12,getBooks request,200,,External app 1-22,text,true,,126,118,30,30,http://localhost:8080/books/,11,0,0
1613306908511,331,getBooks request,200,,External app 1-25,text,true,,126,118,30,30,http://localhost:8080/books/,330,0,4
1613306908174,672,getBooks request,200,,External app 1-2,text,true,,126,118,30,30,http://localhost:8080/books/,671,0,133
1613306908330,518,getBooks request,200,,External app 1-17,text,true,,126,118,30,30,http://localhost:8080/books/,516,0,4
1613306908179,676,getBooks request,200,,External app 1-12,text,true,,126,118,30,30,http://localhost:8080/books/,553,0,128
1613306908771,97,getBooks request,200,,External app 1-10,text,true,,126,118,30,30,http://localhost:8080/books/,94,0,0
1613306908786,95,getBooks request,200,,External app 1-9,text,true,,126,118,30,30,http://localhost:8080/books/,94,0,0
1613306908178,707,getBooks request,200,,External app 1-13,text,true,,126,118,30,30,http://localhost:8080/books/,703,0,139
1613306908334,566,getBooks request,200,,External app 1-18,text,true,,126,118,30,30,http://localhost:8080/books/,565,0,3
1613306908377,523,getBooks request,200,,External app 1-21,text,true,,126,118,30,30,http://localhost:8080/books/,522,0,3
1613306908759,157,getBooks request,200,,External app 1-27,text,true,,126,118,30,30,http://localhost:8080/books/,156,0,0
1613306908435,499,getBooks request,200,,External app 1-23,text,true,,126,118,30,30,http://localhost:8080/books/,497,0,4
1613306908883,63,getBooks request,200,,External app 1-9,text,true,,126,118,30,30,http://localhost:8080/books/,62,0,0
1613306908768,189,getBooks request,200,,External app 1-5,text,true,,126,118,30,30,http://localhost:8080/books/,187,0,0
1613306908918,48,getBooks request,200,,External app 1-27,text,true,,126,118,30,30,http://localhost:8080/books/,48,0,0
1613306908958,16,getBooks request,200,,External app 1-5,text,true,,126,118,30,30,http://localhost:8080/books/,15,0,0
1613306908947,32,getBooks request,200,,External app 1-9,text,true,,126,118,30,30,http://localhost:8080/books/,31,0,0
1613306908968,11,getBooks request,200,,External app 1-27,text,true,,126,118,30,30,http://localhost:8080/books/,10,0,0
1613306908935,54,getBooks request,200,,External app 1-23,text,true,,126,118,30,30,http://localhost:8080/books/,53,0,0
1613306908975,14,getBooks request,200,,External app 1-5,text,true,,126,118,30,30,http://localhost:8080/books/,13,0,0
1613306908980,16,getBooks request,200,,External app 1-9,text,true,,126,118,30,30,http://localhost:8080/books/,15,0,0
1613306908990,8,getBooks request,200,,External app 1-5,text,true,,126,118,30,30,http://localhost:8080/books/,5,0,0
1613306908999,7,getBooks request,200,,External app 1-5,text,true,,126,118,30,30,http://localhost:8080/books/,5,0,0
1613306908990,19,getBooks request,200,,External app 1-23,text,true,,126,118,30,30,http://localhost:8080/books/,14,0,0
1613306909010,12,getBooks request,200,,External app 1-23,text,true,,126,118,30,30,http://localhost:8080/books/,11,0,0
1613306909007,15,getBooks request,200,,External app 1-5,text,true,,126,118,30,30,http://localhost:8080/books/,12,0,0
1613306909023,9,getBooks request,200,,External app 1-23,text,true,,126,118,30,30,http://localhost:8080/books/,8,0,0
1613306908211,822,getBooks request,200,,External app 1-15,text,true,,126,118,30,30,http://localhost:8080/books/,775,0,103
1613306909033,6,getBooks request,200,,External app 1-23,text,true,,126,118,30,30,http://localhost:8080/books/,6,0,0
